batter,matches,total_runs,balls_faced,fours,sixes,dismissals,strike_rate,batting_average,powerplay_runs,death_overs_runs
C Madan,1,14,17,3,0,1,82.35294117647058,14.0,14.0,0.0
C Munro,11,177,139,19,8,9,127.33812949640289,19.666666666666668,131.0,4.0
C Nanda,1,0,1,0,0,1,0.0,0.0,0.0,0.0
C Sakariya,7,20,29,3,0,5,68.96551724137932,4.0,0.0,19.0
C de Grandhomme,21,297,219,18,17,15,135.6164383561644,19.8,1.0,130.0
CA Ingram,14,192,166,21,5,12,115.66265060240963,16.0,14.0,53.0
CA Lynn,42,1317,930,131,65,39,141.61290322580643,33.76923076923077,773.0,30.0
CA Pujara,22,390,381,50,4,18,102.36220472440945,21.666666666666668,215.0,40.0
CH Gayle,135,4540,3056,379,314,122,148.56020942408378,37.21311475409836,2175.0,372.0
CH Morris,48,607,388,41,34,29,156.44329896907217,20.93103448275862,17.0,446.0
CJ Anderson,29,538,416,40,31,22,129.3269230769231,24.454545454545453,52.0,142.0
CJ Jordan,12,81,74,3,3,9,109.45945945945945,9.0,0.0,69.0
